iter	Passed	Remaining
0	0	42
1	0	41
2	1	40
3	1	36
4	1	37
5	2	37
6	2	36
7	3	36
8	3	36
9	4	36
10	4	36
11	4	35
12	5	35
13	5	35
14	6	34
15	6	34
16	6	33
17	7	33
18	7	33
19	8	32
20	8	32
21	8	31
22	9	30
23	9	30
24	9	29
25	10	29
26	10	28
27	11	28
28	11	27
29	11	27
30	12	27
31	12	26
32	12	26
33	13	25
34	13	25
35	13	24
36	14	24
37	14	23
38	14	23
39	15	23
40	15	22
41	15	21
42	16	21
43	16	20
44	16	20
45	17	20
46	17	19
47	17	19
48	18	19
49	18	18
50	19	18
51	19	18
52	19	17
53	20	17
54	20	16
55	20	16
56	21	16
57	21	15
58	21	15
59	22	14
60	22	14
61	22	14
62	23	13
63	23	13
64	23	12
65	24	12
66	24	12
67	25	11
68	25	11
69	25	11
70	26	10
71	26	10
72	26	9
73	27	9
74	27	9
75	28	8
76	28	8
77	28	8
78	29	7
79	29	7
80	29	7
81	30	6
82	30	6
83	31	5
84	31	5
85	31	5
86	32	4
87	32	4
88	32	4
89	33	3
90	33	3
91	33	2
92	34	2
93	34	2
94	34	1
95	35	1
96	35	1
97	36	0
98	36	0
99	36	0
